class_name,precision,recall,f1-score,support,score
airplane,0.9918032786885246,0.9877551020408163,0.9897750511247444,490.0,
airport,0.9520958083832335,0.9734693877551021,0.9626639757820383,490.0,
baseball_diamond,0.9718875502008032,0.9877551020408163,0.979757085020243,490.0,
basketball_court,0.9864864864864865,0.8938775510204081,0.9379014989293362,490.0,
beach,0.9717171717171718,0.9816326530612245,0.9766497461928934,490.0,
bridge,0.9655172413793104,0.9714285714285714,0.9684638860630722,490.0,
chaparral,0.9838383838383838,0.9938775510204082,0.9888324873096447,490.0,
church,0.8555304740406321,0.773469387755102,0.812433011789925,490.0,
circular_farmland,0.9916492693110647,0.9693877551020408,0.9803921568627451,490.0,
cloud,0.9798792756539235,0.9938775510204082,0.9868287740628167,490.0,
commercial_area,0.9027484143763214,0.8714285714285714,0.8868120456905504,490.0,
dense_residential,0.9040816326530612,0.9040816326530612,0.9040816326530612,490.0,
desert,0.9753363228699552,0.8877551020408163,0.9294871794871795,490.0,
forest,0.9723991507430998,0.9346938775510204,0.9531737773152965,490.0,
freeway,0.9269776876267748,0.9326530612244898,0.9298067141403866,490.0,
golf_course,0.9717171717171718,0.9816326530612245,0.9766497461928934,490.0,
ground_track_field,0.9710144927536232,0.9571428571428572,0.9640287769784173,490.0,
harbor,0.9798387096774194,0.9918367346938776,0.9858012170385395,490.0,
industrial_area,0.9334763948497854,0.8877551020408163,0.9100418410041841,490.0,
intersection,0.9530612244897959,0.9530612244897959,0.9530612244897959,490.0,
island,0.9675456389452333,0.9734693877551021,0.970498474059003,490.0,
lake,0.9089147286821705,0.9571428571428572,0.9324055666003976,490.0,
meadow,0.9541666666666667,0.9346938775510204,0.9443298969072165,490.0,
medium_residential,0.8724279835390947,0.8653061224489796,0.8688524590163934,490.0,
mobile_home_park,0.9462809917355371,0.9346938775510204,0.9404517453798767,490.0,
mountain,0.8804554079696395,0.9469387755102041,0.9124877089478859,490.0,
overpass,0.9675456389452333,0.9734693877551021,0.970498474059003,490.0,
palace,0.7252747252747253,0.8081632653061225,0.7644787644787645,490.0,
parking_lot,0.9693251533742331,0.9673469387755103,0.9683350357507661,490.0,
railway,0.9297520661157025,0.9183673469387755,0.9240246406570842,490.0,
railway_station,0.9073684210526316,0.8795918367346939,0.8932642487046633,490.0,
rectangular_farmland,0.9270833333333334,0.9081632653061225,0.9175257731958762,490.0,
river,0.9527896995708155,0.9061224489795918,0.9288702928870293,490.0,
roundabout,0.9777777777777777,0.9877551020408163,0.9827411167512691,490.0,
runway,0.9852941176470589,0.9571428571428572,0.9710144927536232,490.0,
sea_ice,0.98559670781893,0.9775510204081632,0.9815573770491803,490.0,
ship,0.9323017408123792,0.9836734693877551,0.9572989076464746,490.0,
snowberg,0.9643564356435643,0.9938775510204082,0.978894472361809,490.0,
sparse_residential,0.9371196754563894,0.9428571428571428,0.9399796541200407,490.0,
stadium,0.9430255402750491,0.9795918367346939,0.960960960960961,490.0,
storage_tank,0.9678714859437751,0.9836734693877551,0.9757085020242915,490.0,
tennis_court,0.8884758364312267,0.9755102040816327,0.9299610894941635,490.0,
terrace,0.9069767441860465,0.9551020408163265,0.9304174950298211,490.0,
thermal_power_station,0.9616935483870968,0.9734693877551021,0.9675456389452333,490.0,
wetland,0.9334763948497854,0.8877551020408163,0.9100418410041841,490.0,
accuracy,,,,,0.9422222222222222
macro avg,0.9429767244864584,0.9422222222222221,0.9421952545980617,22050.0,
weighted avg,0.9429767244864586,0.9422222222222222,0.9421952545980615,22050.0,
