class_name,precision,recall,f1-score,support,score
airplane,0.9878048780487805,0.9918367346938776,0.9898167006109979,490.0,
airport,0.9193857965451055,0.9775510204081632,0.9475766567754699,490.0,
baseball_diamond,0.9698795180722891,0.9857142857142858,0.9777327935222672,490.0,
basketball_court,0.9840909090909091,0.8836734693877552,0.9311827956989247,490.0,
beach,0.9698795180722891,0.9857142857142858,0.9777327935222672,490.0,
bridge,0.9708939708939709,0.9530612244897959,0.9618949536560247,490.0,
chaparral,0.9878542510121457,0.9959183673469387,0.991869918699187,490.0,
church,0.8798185941043084,0.7918367346938775,0.8335123523093448,490.0,
circular_farmland,0.9916666666666667,0.9714285714285714,0.9814432989690721,490.0,
cloud,0.9877300613496932,0.9857142857142858,0.9867211440245148,490.0,
commercial_area,0.8857142857142857,0.8857142857142857,0.8857142857142857,490.0,
dense_residential,0.9121338912133892,0.889795918367347,0.9008264462809917,490.0,
desert,0.9775280898876404,0.8877551020408163,0.93048128342246,490.0,
forest,0.9681528662420382,0.9306122448979591,0.9490114464099896,490.0,
freeway,0.9478079331941545,0.926530612244898,0.9370485036119711,490.0,
golf_course,0.9737903225806451,0.9857142857142858,0.9797160243407708,490.0,
ground_track_field,0.9711340206185567,0.9612244897959183,0.9661538461538461,490.0,
harbor,0.9758551307847082,0.9897959183673469,0.9827760891590679,490.0,
industrial_area,0.911340206185567,0.9020408163265307,0.9066666666666666,490.0,
intersection,0.9476861167002012,0.9612244897959183,0.9544072948328267,490.0,
island,0.979296066252588,0.9653061224489796,0.9722507708119219,490.0,
lake,0.9083820662768031,0.9510204081632653,0.9292123629112662,490.0,
meadow,0.9597457627118644,0.9244897959183673,0.9417879417879418,490.0,
medium_residential,0.8562992125984252,0.8877551020408163,0.8717434869739479,490.0,
mobile_home_park,0.9292929292929293,0.9387755102040817,0.934010152284264,490.0,
mountain,0.8851224105461394,0.9591836734693877,0.920666013712047,490.0,
overpass,0.9560878243512974,0.9775510204081632,0.9667003027245207,490.0,
palace,0.7819253438113949,0.8122448979591836,0.7967967967967968,490.0,
parking_lot,0.9713701431492843,0.9693877551020408,0.9703779366700716,490.0,
railway,0.9315352697095436,0.9163265306122449,0.9238683127572016,490.0,
railway_station,0.9094736842105263,0.8816326530612245,0.8953367875647669,490.0,
rectangular_farmland,0.9087301587301587,0.9346938775510204,0.9215291750503019,490.0,
river,0.961456102783726,0.9163265306122449,0.9383490073145245,490.0,
roundabout,0.9775967413441955,0.9795918367346939,0.9785932721712538,490.0,
runway,0.987152034261242,0.9408163265306122,0.9634273772204807,490.0,
sea_ice,0.9836065573770492,0.9795918367346939,0.9815950920245399,490.0,
ship,0.9562624254473161,0.9816326530612245,0.9687814702920443,490.0,
snowberg,0.9681908548707754,0.9938775510204082,0.9808660624370594,490.0,
sparse_residential,0.9462809917355371,0.9346938775510204,0.9404517453798767,490.0,
stadium,0.9525691699604744,0.9836734693877551,0.9678714859437751,490.0,
storage_tank,0.9659318637274549,0.9836734693877551,0.974721941354904,490.0,
tennis_court,0.8747731397459165,0.9836734693877551,0.9260326609029779,490.0,
terrace,0.9204771371769384,0.9448979591836735,0.932527693856999,490.0,
thermal_power_station,0.9583333333333334,0.9857142857142858,0.971830985915493,490.0,
wetland,0.9376344086021505,0.889795918367347,0.9130890052356021,490.0,
accuracy,,,,,0.9435374149659864
macro avg,0.944170503532987,0.9435374149659864,0.9434378474327896,22050.0,
weighted avg,0.9441705035329868,0.9435374149659864,0.9434378474327895,22050.0,
