,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,485,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
airport,0,482,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
baseball_diamond,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
basketball_court,0,0,2,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
beach,0,1,0,0,486,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bridge,0,1,1,0,2,457,0,0,0,0,0,0,0,0,4,0,0,5,0,2,0,0,0,0,0,0,5,0,0,0,2,0,6,0,1,0,3,0,0,0,0,0,1,0,0
chaparral,0,0,0,0,0,0,486,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
church,1,1,0,0,0,0,0,359,0,0,32,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,87,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0
circular_farmland,0,0,2,0,0,0,2,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0
cloud,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
commercial_area,0,0,0,0,0,0,0,2,0,0,440,5,0,0,0,0,0,1,7,3,0,0,0,0,0,0,1,19,0,0,3,0,0,0,0,0,1,0,0,3,4,0,0,1,0
dense_residential,0,0,0,0,0,0,0,0,0,0,2,439,0,0,0,1,0,2,1,1,0,0,0,18,14,0,0,4,1,0,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0
desert,0,0,1,0,1,0,2,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,1,0,0
forest,0,0,0,0,0,0,0,0,0,1,0,0,0,454,1,2,0,0,0,0,0,1,14,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2
freeway,0,0,1,1,0,0,0,0,0,0,0,0,0,3,435,1,0,0,2,2,0,0,0,2,0,0,28,0,6,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
golf_course,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,478,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
