class_name,precision,recall,f1-score,support,score
airplane,0.9878048780487805,0.9918367346938776,0.9898167006109979,490.0,
airport,0.9464285714285714,0.9734693877551021,0.959758551307847,490.0,
baseball_diamond,0.9490196078431372,0.9877551020408163,0.968,490.0,
basketball_court,0.9865168539325843,0.8959183673469387,0.9390374331550803,490.0,
beach,0.9658634538152611,0.9816326530612245,0.9736842105263158,490.0,
bridge,0.9684873949579832,0.9408163265306122,0.9544513457556936,490.0,
chaparral,0.9918032786885246,0.9877551020408163,0.9897750511247444,490.0,
church,0.8545454545454545,0.7673469387755102,0.8086021505376344,490.0,
circular_farmland,0.9896907216494846,0.9795918367346939,0.9846153846153847,490.0,
cloud,0.9858012170385395,0.9918367346938776,0.9888097660223805,490.0,
commercial_area,0.9102844638949672,0.8489795918367347,0.8785638859556494,490.0,
dense_residential,0.910828025477707,0.8755102040816326,0.8928199791883454,490.0,
desert,0.970917225950783,0.8857142857142857,0.9263607257203842,490.0,
forest,0.9698275862068966,0.9183673469387755,0.9433962264150944,490.0,
freeway,0.9404517453798767,0.9346938775510204,0.9375639713408394,490.0,
golf_course,0.9776876267748479,0.9836734693877551,0.9806714140386572,490.0,
ground_track_field,0.9710743801652892,0.9591836734693877,0.9650924024640657,490.0,
harbor,0.9798792756539235,0.9938775510204082,0.9868287740628167,490.0,
industrial_area,0.8776699029126214,0.9224489795918367,0.8995024875621891,490.0,
intersection,0.9527720739219713,0.9469387755102041,0.9498464687819856,490.0,
island,0.97165991902834,0.9795918367346939,0.975609756097561,490.0,
lake,0.8990476190476191,0.963265306122449,0.9300492610837439,490.0,
meadow,0.9378757515030061,0.9551020408163265,0.9464105156723963,490.0,
medium_residential,0.8463035019455253,0.8877551020408163,0.8665338645418327,490.0,
mobile_home_park,0.9490445859872612,0.9122448979591836,0.9302809573361083,490.0,
mountain,0.8558394160583942,0.9571428571428572,0.9036608863198459,490.0,
overpass,0.9651639344262295,0.9612244897959183,0.9631901840490797,490.0,
palace,0.7606177606177607,0.8040816326530612,0.7817460317460317,490.0,
parking_lot,0.9814432989690721,0.9714285714285714,0.9764102564102564,490.0,
railway,0.9151515151515152,0.9244897959183673,0.9197969543147209,490.0,
railway_station,0.9030172413793104,0.8551020408163266,0.8784067085953878,490.0,
rectangular_farmland,0.91701244813278,0.9020408163265307,0.9094650205761317,490.0,
river,0.9669603524229075,0.8959183673469387,0.9300847457627118,490.0,
roundabout,0.9855670103092784,0.9755102040816327,0.9805128205128205,490.0,
runway,0.9772256728778468,0.963265306122449,0.9701952723535457,490.0,
sea_ice,0.987603305785124,0.9755102040816327,0.9815195071868583,490.0,
ship,0.9220532319391636,0.9897959183673469,0.9547244094488189,490.0,
snowberg,0.9548133595284872,0.9918367346938776,0.972972972972973,490.0,
sparse_residential,0.9425051334702259,0.936734693877551,0.9396110542476971,490.0,
stadium,0.9342359767891683,0.9857142857142858,0.9592850049652433,490.0,
storage_tank,0.9640718562874252,0.9857142857142858,0.9747729566094854,490.0,
tennis_court,0.875,0.9857142857142858,0.927063339731286,490.0,
terrace,0.908,0.926530612244898,0.9171717171717172,490.0,
thermal_power_station,0.9715447154471545,0.9755102040816327,0.9735234215885947,490.0,
wetland,0.9481981981981982,0.8591836734693877,0.9014989293361885,490.0,
accuracy,,,,,0.9397278911564626
macro avg,0.9406068787464222,0.9397278911564625,0.9395931883959363,22050.0,
weighted avg,0.9406068787464221,0.9397278911564626,0.9395931883959365,22050.0,
